route_name,stop_sequence,building_type,package_weight_kg,package_size
Route-080,6,apartment_complex,4,small
Route-080,7,single_family_home,1,small
Route-080,8,business_storefront,18,medium
Route-080,9,single_family_home,3,small
Route-081,0,business_storefront,3,small
Route-081,1,single_family_home,14,medium
Route-081,2,apartment_complex,2,small
Route-081,3,single_family_home,5,small
Route-081,4,business_storefront,1,small
Route-081,5,single_family_home,20,medium
Route-081,6,apartment_complex,4,small
Route-081,7,single_family_home,2,small
Route-081,8,business_storefront,11,medium
Route-081,9,single_family_home,3,small
Route-082,0,apartment_complex,3,small
Route-082,1,single_family_home,16,medium
Route-082,2,business_storefront,2,small
Route-082,3,single_family_home,5,small
Route-082,4,business_storefront,1,small
Route-082,5,single_family_home,13,medium
Route-082,6,apartment_complex,4,small
Route-082,7,single_family_home,2,small
Route-082,8,business_storefront,19,medium
Route-082,9,single_family_home,3,small
Route-083,0,single_family_home,2,small
Route-083,1,business_storefront,15,medium
Route-083,2,apartment_complex,3,small
Route-083,3,single_family_home,5,small
Route-083,4,business_storefront,1,small
Route-083,5,single_family_home,18,medium
Route-083,6,apartment_complex,4,small
Route-083,7,single_family_home,2,small
Route-083,8,business_storefront,12,medium
Route-083,9,single_family_home,3,small
Route-084,0,school,4,small
Route-084,1,single_family_home,17,medium
Route-084,2,business_storefront,2,small
Route-084,3,apartment_complex,5,small
Route-084,4,single_family_home,1,small
Route-084,5,business_storefront,14,medium
Route-084,6,single_family_home,3,small
Route-084,7,apartment_complex,2,small
Route-084,8,single_family_home,19,medium
Route-084,9,business_storefront,4,small
Route-085,0,business_storefront,2,small
Route-085,1,single_family_home,11,medium
Route-085,2,apartment_complex,3,small
Route-085,3,single_family_home,5,small
Route-085,4,business_storefront,1,small
Route-085,5,single_family_home,20,medium
Route-085,6,apartment_complex,4,small
Route-085,7,single_family_home,2,small
Route-085,8,business_storefront,14,medium
Route-085,9,single_family_home,3,small
Route-086,0,apartment_complex,24,heavy
Route-086,1,single_family_home,4,small
Route-086,2,business_storefront,1,small
Route-086,3,single_family_home,17,medium
Route-086,4,business_storefront,3,small
Route-086,5,single_family_home,5,small
Route-086,6,apartment_complex,11,medium
Route-086,7,single_family_home,2,small
Route-086,8,business_storefront,14,medium
Route-086,9,single_family_home,4,small
Route-087,0,single_family_home,1,small
Route-087,1,business_storefront,19,medium
Route-087,2,apartment_complex,3,small
Route-087,3,single_family_home,5,small
Route-087,4,business_storefront,2,small
Route-087,5,single_family_home,12,medium
Route-087,6,apartment_complex,4,small
Route-087,7,single_family_home,1,small
Route-087,8,business_storefront,18,medium
Route-087,9,single_family_home,3,small
Route-088,0,business_storefront,3,small
Route-088,1,single_family_home,14,medium
Route-088,2,apartment_complex,2,small
Route-088,3,single_family_home,5,small
Route-088,4,business_storefront,1,small
Route-088,5,single_family_home,20,medium
Route-088,6,apartment_complex,4,small
Route-088,7,single_family_home,2,small
Route-088,8,business_storefront,11,medium
Route-088,9,single_family_home,3,small
Route-089,0,apartment_complex,3,small
Route-089,1,single_family_home,16,medium
Route-089,2,business_storefront,2,small
Route-089,3,single_family_home,5,small
Route-089,4,business_storefront,1,small
Route-089,5,single_family_home,13,medium
Route-089,6,apartment_complex,4,small
Route-089,7,single_family_home,2,small
Route-089,8,business_storefront,19,medium
Route-089,9,single_family_home,3,small
Route-090,0,single_family_home,2,small
Route-090,1,business_storefront,15,medium
Route-090,2,apartment_complex,3,small
Route-090,3,single_family_home,5,small
Route-090,4,business_storefront,1,small
Route-090,5,single_family_home,18,medium
Route-090,6,apartment_complex,4,small
Route-090,7,single_family_home,2,small
Route-090,8,business_storefront,12,medium
Route-090,9,single_family_home,3,small
Route-091,0,warehouse,55,oversized
Route-091,1,single_family_home,17,medium
Route-091,2,business_storefront,2,small
Route-091,3,apartment_complex,5,small
Route-091,4,single_family_home,1,small
Route-091,5,business_storefront,14,medium
Route-091,6,single_family_home,3,small
Route-091,7,apartment_complex,2,small
Route-091,8,single_family_home,19,medium
Route-091,9,business_storefront,4,small
Route-092,0,business_storefront,2,small
Route-092,1,single_family_home,11,medium
Route-092,2,apartment_complex,3,small
Route-092,3,single_family_home,5,small
Route-092,4,business_storefront,1,small
Route-092,5,single_family_home,20,medium
Route-092,6,apartment_complex,4,small
Route-092,7,single_family_home,2,small
Route-092,8,business_storefront,14,medium
Route-092,9,single_family_home,3,small
Route-093,0,apartment_complex,26,heavy
Route-093,1,single_family_home,4,small
Route-093,2,business_storefront,1,small
Route-093,3,single_family_home,17,medium
Route-093,4,business_storefront,3,small
Route-093,5,single_family_home,5,small
Route-093,6,apartment_complex,11,medium
Route-093,7,single_family_home,2,small
Route-093,8,business_storefront,14,medium
Route-093,9,single_family_home,4,small
Route-094,0,single_family_home,1,small
Route-094,1,business_storefront,19,medium
Route-094,2,apartment_complex,3,small
Route-094,3,single_family_home,5,small
Route-094,4,business_storefront,2,small
Route-094,5,single_family_home,12,medium
Route-094,6,apartment_complex,4,small
Route-094,7,single_family_home,1,small
Route-094,8,business_storefront,18,medium
Route-094,9,single_family_home,3,small
Route-095,0,business_storefront,3,small
Route-095,1,single_family_home,14,medium
Route-095,2,apartment_complex,2,small
Route-095,3,single_family_home,5,small
Route-095,4,business_storefront,1,small
Route-095,5,single_family_home,20,medium
Route-095,6,apartment_complex,4,small
Route-095,7,single_family_home,2,small
Route-095,8,business_storefront,11,medium
Route-095,9,single_family_home,3,small
Route-096,0,apartment_complex,3,small
Route-096,1,single_family_home,16,medium
Route-096,2,business_storefront,2,small
Route-096,3,single_family_home,5,small
Route-096,4,business_storefront,1,small
Route-096,5,single_family_home,13,medium
Route-096,6,apartment_complex,4,small
Route-096,7,single_family_home,2,small
Route-096,8,business_storefront,19,medium
Route-096,9,single_family_home,3,small
Route-097,0,single_family_home,2,small
Route-097,1,business_storefront,15,medium
Route-097,2,apartment_complex,3,small
Route-097,3,single_family_home,5,small
Route-097,4,business_storefront,1,small
Route-097,5,single_family_home,18,medium
Route-097,6,apartment_complex,4,small
Route-097,7,single_family_home,2,small
Route-097,8,business_storefront,12,medium
Route-097,9,single_family_home,3,small
Route-098,0,medical_office,4,small
Route-098,1,single_family_home,17,medium
Route-098,2,business_storefront,2,small
Route-098,3,apartment_complex,5,small
Route-098,4,single_family_home,1,small
Route-098,5,business_storefront,14,medium
Route-098,6,single_family_home,3,small
Route-098,7,apartment_complex,2,small
Route-098,8,single_family_home,19,medium
Route-098,9,business_storefront,4,small
Route-099,0,business_storefront,2,small
Route-099,1,single_family_home,11,medium
Route-099,2,apartment_complex,3,small
Route-099,3,single_family_home,5,small
Route-099,4,business_storefront,1,small
Route-099,5,single_family_home,20,medium
Route-099,6,apartment_complex,4,small
Route-099,7,single_family_home,2,small
Route-099,8,business_storefront,14,medium
Route-099,9,single_family_home,3,small
Route-100,0,apartment_complex,40,heavy
Route-100,1,single_family_home,4,small
Route-100,2,business_storefront,1,small
Route-100,3,single_family_home,17,medium
Route-100,4,business_storefront,3,small
Route-100,5,single_family_home,5,small
Route-100,6,apartment_complex,11,medium
Route-100,7,single_family_home,2,small
Route-100,8,business_storefront,14,medium
Route-100,9,single_family_home,4,small
