route_name,stop_sequence,latitude,longitude
Route-094,0,49.616,6.102
Route-094,1,49.594,6.145
Route-094,2,49.498,5.994
Route-094,3,49.487,5.974
Route-094,4,49.133,6.189
Route-094,5,49.342,6.158
Route-094,6,49.684,5.839
Route-094,7,50.846,4.365
Route-094,8,48.862,2.344
Route-094,9,48.835,2.388
Route-095,0,49.614,6.130
Route-095,1,49.609,6.104
Route-095,2,49.490,5.977
Route-095,3,49.496,5.978
Route-095,4,49.109,6.192
Route-095,5,49.344,6.159
Route-095,6,49.679,5.804
Route-095,7,50.834,4.362
Route-095,8,48.852,2.299
Route-095,9,48.852,2.405
Route-096,0,49.627,6.121
Route-096,1,49.596,6.128
Route-096,2,49.501,5.988
Route-096,3,49.489,5.988
Route-096,4,49.127,6.195
Route-096,5,49.340,6.160
Route-096,6,49.681,5.825
Route-096,7,50.855,4.330
Route-096,8,48.865,2.307
Route-096,9,48.849,2.345
Route-097,0,49.611,6.133
Route-097,1,49.623,6.137
Route-097,2,49.505,5.972
Route-097,3,49.494,5.963
Route-097,4,49.115,6.150
Route-097,5,49.343,6.167
Route-097,6,49.693,5.797
Route-097,7,50.859,4.348
Route-097,8,48.863,2.367
Route-097,9,48.841,2.326
Route-098,0,49.610,6.107
Route-098,1,49.596,6.118
Route-098,2,49.502,5.971
Route-098,3,49.504,5.981
Route-098,4,49.127,6.171
Route-098,5,49.369,6.174
Route-098,6,49.672,5.817
Route-098,7,50.851,4.350
Route-098,8,48.874,2.327
Route-098,9,48.848,2.388
Route-099,0,49.618,6.125
Route-099,1,49.623,6.137
Route-099,2,49.505,5.977
Route-099,3,49.492,5.993
Route-099,4,49.134,6.182
Route-099,5,49.347,6.186
Route-099,6,49.672,5.817
Route-099,7,50.859,4.338
Route-099,8,48.843,2.363
Route-099,9,48.888,2.365
Route-100,0,49.613,6.148
Route-100,1,49.620,6.114
Route-100,2,49.494,5.963
Route-100,3,49.500,5.996
Route-100,4,49.104,6.175
Route-100,5,49.361,6.180
Route-100,6,49.674,5.826
Route-100,7,50.841,4.329
Route-100,8,48.849,2.306
Route-100,9,48.853,2.311
